52,93,15,72,61,21,83,87,75,75,88,100,24,3,22,53,2,88,30,38,2,64,60,21,33,76,58,22,89,49,91,59
42,92,60,80,15,62,62,47,62,51,55,64,3,51,7,21,73,39,18,4,89,60,14,9,90,53,2,84,92,60,71,44
8,47,35,78,81,36,50,4,2,6,54,4,54,93,63,18,90,44,34,74,62,100,14,95,48,15,72,78,87,62,40,85
80,82,53,24,26,89,60,41,29,15,45,65,89,71,9,88,1,8,88,63,11,81,8,35,35,33,5,41,28,7,73,72
12,34,33,48,23,62,88,37,99,44,86,91,35,65,99,47,78,3,1,5,90,14,27,9,79,15,90,42,77,51,63,96
52,96,4,94,23,15,43,29,36,13,32,71,59,86,28,66,42,45,62,57,6,28,28,44,84,30,62,75,92,89,62,97
1,27,62,77,3,70,72,27,9,62,37,97,51,44,24,79,59,32,96,88,52,62,58,52,12,39,2,3,56,81,59,2
2,92,54,87,96,97,1,19,2,53,44,90,32,70,32,68,55,75,56,17,38,24,69,98,70,86,11,16,97,73,59,70
80,93,3,20,59,36,19,90,67,19,20,96,71,52,33,40,39,82,1,11,92,57,89,50,23,31,94,42,99,7,16,90
60,2,1,48,12,69,37,32,9,99,19,48,80,3,20,24,54,33,24,75,72,36,38,84,99,89,99,25,93,18,82,66
54,35,80,61,41,100,33,68,33,14,21,48,20,8,7,67,17,33,48,76,59,86,22,30,38,51,54,8,27,27,98,21
30,97,28,64,97,69,61,48,19,4,35,64,49,17,44,92,30,93,46,6,99,37,24,93,46,53,95,99,60,97,63,85
32,87,33,67,18,25,95,54,58,67,46,24,32,47,86,23,66,27,2,90,17,33,9,43,48,39,93,42,26,99,50,25
24,13,60,7,57,36,45,20,65,8,16,14,76,87,15,92,98,66,32,87,63,86,51,25,58,63,62,22,58,58,86,49
52,42,70,15,54,60,97,8,53,60,5,68,6,96,94,47,99,55,40,52,16,13,30,19,17,63,19,92,58,55,90,90
62,23,9,12,1,58,1,34,96,48,89,1,16,61,64,63,69,22,93,67,76,26,16,51,86,57,29,78,92,69,47,94
62,69,76,16,90,90,48,85,39,100,33,94,23,10,69,100,34,52,95,10,19,58,96,1,69,4,16,24,80,2,92,32
91,84,24,12,50,35,33,33,61,51,43,12,67,65,33,40,74,43,44,29,13,12,95,46,2,35,87,81,90,8,93,26
74,90,34,7,68,58,75,29,36,89,21,36,10,73,24,64,99,49,99,36,82,96,24,23,62,96,37,12,55,13,23,89
99,30,17,62,84,89,86,13,59,19,49,100,12,61,19,76,9,71,28,78,95,52,83,16,69,99,12,25,52,85,100,53
23,16,57,39,53,42,58,39,14,95,5,35,87,93,75,18,76,9,74,58,17,7,46,13,40,42,9,50,27,66,5,29
37,38,83,8,65,86,17,71,89,45,4,36,70,31,19,61,54,39,91,74,90,19,39,67,45,13,92,58,20,92,72,61
39,1,3,77,92,62,63,25,56,33,38,6,58,44,45,32,45,61,47,21,80,85,75,36,99,19,20,57,18,47,49,14
