47154, 52977, 32238, 44756, 56727, 47903, 42330, 47946, 48739, 39292, 52485, 42885, 54253, 47475, 47571, 59483
39882, 35624, 26835, 34549, 39810, 39249, 34751, 30127, 40762, 36946, 42301, 33338, 39732, 42553, 46212, 48956
40032, 42430, 22034, 39494, 44093, 39137, 35267, 37790, 36416, 38362, 43505, 34962, 48384, 33284, 43006, 46729
47993, 42041, 30633, 40414, 35107, 44453, 35903, 34606, 41505, 38194, 35822, 37690, 33980, 41660, 49711, 42430
34702, 27017, 24957, 28116, 30826, 34091, 26462, 26907, 31014, 29599, 28668, 28983, 33495, 26114, 34609, 43590
54175, 50670, 41911, 44874, 56626, 51590, 40688, 48523, 54679, 49267, 47354, 50843, 55174, 53667, 60236, 60981
47676, 46131, 33971, 39576, 50900, 45489, 39561, 37734, 40818, 41005, 36664, 46970, 49993, 42536, 50084, 53831
31414, 21624, 20639, 32007, 27086, 32292, 19943, 26360, 33603, 36742, 33050, 22819, 31763, 27531, 37238, 30591
47594, 45663, 31976, 45121, 44254, 46206, 39186, 37468, 48352, 43014, 46489, 35814, 46002, 46754, 55491, 55482
42242, 35555, 35706, 32274, 35062, 36383, 31547, 32679, 43068, 30251, 25620, 37027, 35875, 42728, 39687, 47049
44485, 41875, 26976, 34905, 44358, 35219, 35645, 35621, 40377, 37234, 39113, 38933, 46872, 35750, 44902, 51354
52511, 43736, 34764, 41674, 44543, 41542, 40914, 37909, 49243, 49011, 41467, 44849, 50746, 50123, 56099, 55705
42054, 33074, 27436, 42856, 41663, 39935, 29901, 30569, 38316, 40093, 38591, 33290, 42811, 37207, 46543, 44839
41669, 36064, 22136, 35131, 36190, 40002, 28418, 36925, 34884, 40266, 37659, 39163, 39783, 31625, 43557, 43303
47827, 34677, 32822, 45677, 44294, 48465, 32910, 36728, 41642, 43246, 45036, 34974, 48415, 35678, 46945, 51615
49580, 50464, 31741, 39582, 47552, 43353, 40294, 43487, 43479, 44034, 46255, 52306, 46500, 50935, 51972, 56126
